home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result
Argentina,France,88966,Final,Qatar,2022,2022-12-18,3,3,draw
Croatia,Morocco,44137,Third-place match,Qatar,2022,2022-12-17,2,1,home_win
France,Morocco,68294,Semi-finals,Qatar,2022,2022-12-14,2,0,home_win
Argentina,Croatia,88966,Semi-finals,Qatar,2022,2022-12-13,3,0,home_win
Morocco,Portugal,44198,Quarter-finals,Qatar,2022,2022-12-10,1,0,home_win
England,France,68895,Quarter-finals,Qatar,2022,2022-12-10,1,2,away_win
Croatia,Brazil,43893,Quarter-finals,Qatar,2022,2022-12-09,1,1,draw
Netherlands,Argentina,88235,Quarter-finals,Qatar,2022,2022-12-09,2,2,draw
Morocco,Spain,44667,Round of 16,Qatar,2022,2022-12-06,0,0,draw
Portugal,Switzerland,83720,Round of 16,Qatar,2022,2022-12-06,6,1,home_win
Japan,Croatia,42523,Round of 16,Qatar,2022,2022-12-05,1,1,draw
Brazil,South Korea,43847,Round of 16,Qatar,2022,2022-12-05,4,1,home_win
France,Poland,40989,Round of 16,Qatar,2022,2022-12-04,3,1,home_win
England,Senegal,65985,Round of 16,Qatar,2022,2022-12-04,3,0,home_win
Netherlands,United States,44846,Round of 16,Qatar,2022,2022-12-03,3,1,home_win
Argentina,Australia,45032,Round of 16,Qatar,2022,2022-12-03,2,1,home_win
South Korea,Portugal,44097,Group stage,Qatar,2022,2022-12-02,2,1,home_win
Ghana,Uruguay,43443,Group stage,Qatar,2022,2022-12-02,0,2,away_win
Cameroon,Brazil,85986,Group stage,Qatar,2022,2022-12-02,1,0,home_win
Serbia,Switzerland,41378,Group stage,Qatar,2022,2022-12-02,2,3,away_win
Canada,Morocco,43102,Group stage,Qatar,2022,2022-12-01,1,2,away_win
Croatia,Belgium,43984,Group stage,Qatar,2022,2022-12-01,0,0,draw
Costa Rica,Germany,67054,Group stage,Qatar,2022,2022-12-01,2,4,away_win
Japan,Spain,44851,Group stage,Qatar,2022,2022-12-01,2,1,home_win
Australia,Denmark,41232,Group stage,Qatar,2022,2022-11-30,1,0,home_win
Tunisia,France,43627,Group stage,Qatar,2022,2022-11-30,1,0,home_win
Saudi Arabia,Mexico,84985,Group stage,Qatar,2022,2022-11-30,1,2,away_win
Poland,Argentina,44089,Group stage,Qatar,2022,2022-11-30,0,2,away_win
Ecuador,Senegal,44569,Group stage,Qatar,2022,2022-11-29,1,2,away_win
Netherlands,Qatar,66784,Group stage,Qatar,2022,2022-11-29,2,0,home_win
Iran,United States,42127,Group stage,Qatar,2022,2022-11-29,0,1,away_win
Wales,England,44297,Group stage,Qatar,2022,2022-11-29,0,3,away_win
Cameroon,Serbia,39789,Group stage,Qatar,2022,2022-11-28,3,3,draw
South Korea,Ghana,43983,Group stage,Qatar,2022,2022-11-28,2,3,away_win
Brazil,Switzerland,43649,Group stage,Qatar,2022,2022-11-28,1,0,home_win
Portugal,Uruguay,88668,Group stage,Qatar,2022,2022-11-28,2,0,home_win
Japan,Costa Rica,41479,Group stage,Qatar,2022,2022-11-27,0,1,away_win
Belgium,Morocco,43738,Group stage,Qatar,2022,2022-11-27,0,2,away_win
Croatia,Canada,44374,Group stage,Qatar,2022,2022-11-27,4,1,home_win
Spain,Germany,68895,Group stage,Qatar,2022,2022-11-27,1,1,draw
Tunisia,Australia,41823,Group stage,Qatar,2022,2022-11-26,0,1,away_win
Poland,Saudi Arabia,44259,Group stage,Qatar,2022,2022-11-26,2,0,home_win
France,Denmark,42860,Group stage,Qatar,2022,2022-11-26,2,1,home_win
Argentina,Mexico,88966,Group stage,Qatar,2022,2022-11-26,2,0,home_win
Wales,Iran,40875,Group stage,Qatar,2022,2022-11-25,0,2,away_win
Qatar,Senegal,41797,Group stage,Qatar,2022,2022-11-25,1,3,away_win
Netherlands,Ecuador,44833,Group stage,Qatar,2022,2022-11-25,1,1,draw
England,United States,68463,Group stage,Qatar,2022,2022-11-25,0,0,draw
Switzerland,Cameroon,39089,Group stage,Qatar,2022,2022-11-24,1,0,home_win
Uruguay,South Korea,41663,Group stage,Qatar,2022,2022-11-24,0,0,draw
Portugal,Ghana,42662,Group stage,Qatar,2022,2022-11-24,3,2,home_win
Brazil,Serbia,88103,Group stage,Qatar,2022,2022-11-24,2,0,home_win
Morocco,Croatia,59407,Group stage,Qatar,2022,2022-11-23,0,0,draw
Germany,Japan,42608,Group stage,Qatar,2022,2022-11-23,1,2,away_win
Spain,Costa Rica,40013,Group stage,Qatar,2022,2022-11-23,7,0,home_win
Belgium,Canada,40432,Group stage,Qatar,2022,2022-11-23,1,0,home_win
Argentina,Saudi Arabia,88012,Group stage,Qatar,2022,2022-11-22,1,2,away_win
Denmark,Tunisia,42925,Group stage,Qatar,2022,2022-11-22,0,0,draw
Mexico,Poland,39369,Group stage,Qatar,2022,2022-11-22,0,0,draw
France,Australia,40875,Group stage,Qatar,2022,2022-11-22,4,1,home_win
England,Iran,45334,Group stage,Qatar,2022,2022-11-21,6,2,home_win
Senegal,Netherlands,41721,Group stage,Qatar,2022,2022-11-21,0,2,away_win
United States,Wales,43418,Group stage,Qatar,2022,2022-11-21,1,1,draw
Qatar,Ecuador,67372,Group stage,Qatar,2022,2022-11-20,0,2,away_win
France,Croatia,78011,Final,Russia,2018,2018-07-15,4,2,home_win
Belgium,England,64406,Third-place match,Russia,2018,2018-07-14,2,0,home_win
Croatia,England,78011,Semi-finals,Russia,2018,2018-07-11,2,1,home_win
France,Belgium,64286,Semi-finals,Russia,2018,2018-07-10,1,0,home_win
Sweden,England,39991,Quarter-finals,Russia,2018,2018-07-07,0,2,away_win
Russia,Croatia,44287,Quarter-finals,Russia,2018,2018-07-07,2,2,draw
Uruguay,France,43319,Quarter-finals,Russia,2018,2018-07-06,0,2,away_win
Brazil,Belgium,42873,Quarter-finals,Russia,2018,2018-07-06,1,2,away_win
Sweden,Switzerland,64042,Round of 16,Russia,2018,2018-07-03,1,0,home_win
Colombia,England,44190,Round of 16,Russia,2018,2018-07-03,1,1,draw
Brazil,Mexico,41970,Round of 16,Russia,2018,2018-07-02,2,0,home_win
Belgium,Japan,41466,Round of 16,Russia,2018,2018-07-02,3,2,home_win
Spain,Russia,78011,Round of 16,Russia,2018,2018-07-01,1,1,draw
Croatia,Denmark,40851,Round of 16,Russia,2018,2018-07-01,1,1,draw
France,Argentina,42873,Round of 16,Russia,2018,2018-06-30,4,3,home_win
Uruguay,Portugal,44287,Round of 16,Russia,2018,2018-06-30,2,1,home_win
Japan,Poland,42189,Group stage,Russia,2018,2018-06-28,0,1,away_win
Senegal,Colombia,41970,Group stage,Russia,2018,2018-06-28,0,1,away_win
England,Belgium,33973,Group stage,Russia,2018,2018-06-28,0,1,away_win
Panama,Tunisia,37168,Group stage,Russia,2018,2018-06-28,1,2,away_win
South Korea,Germany,41835,Group stage,Russia,2018,2018-06-27,2,0,home_win
Mexico,Sweden,33061,Group stage,Russia,2018,2018-06-27,0,3,away_win
Switzerland,Costa Rica,43319,Group stage,Russia,2018,2018-06-27,2,2,draw
Serbia,Brazil,44190,Group stage,Russia,2018,2018-06-27,0,2,away_win
Australia,Peru,44073,Group stage,Russia,2018,2018-06-26,0,2,away_win
Denmark,France,78011,Group stage,Russia,2018,2018-06-26,0,0,draw
Iceland,Croatia,43472,Group stage,Russia,2018,2018-06-26,1,2,away_win
Nigeria,Argentina,64468,Group stage,Russia,2018,2018-06-26,1,2,away_win
Saudi Arabia,Egypt,36823,Group stage,Russia,2018,2018-06-25,2,1,home_win
Uruguay,Russia,41970,Group stage,Russia,2018,2018-06-25,3,0,home_win
Spain,Morocco,33973,Group stage,Russia,2018,2018-06-25,2,2,draw
Iran,Portugal,41685,Group stage,Russia,2018,2018-06-25,1,1,draw
England,Panama,43319,Group stage,Russia,2018,2018-06-24,6,1,home_win
Japan,Senegal,32572,Group stage,Russia,2018,2018-06-24,2,2,draw
Poland,Colombia,42873,Group stage,Russia,2018,2018-06-24,0,3,away_win
Belgium,Tunisia,44190,Group stage,Russia,2018,2018-06-23,5,2,home_win
South Korea,Mexico,43472,Group stage,Russia,2018,2018-06-23,1,2,away_win
Germany,Sweden,44287,Group stage,Russia,2018,2018-06-23,2,1,home_win
Brazil,Costa Rica,64468,Group stage,Russia,2018,2018-06-22,2,0,home_win
Nigeria,Iceland,40904,Group stage,Russia,2018,2018-06-22,2,0,home_win
Serbia,Switzerland,33167,Group stage,Russia,2018,2018-06-22,1,2,away_win
Denmark,Australia,40727,Group stage,Russia,2018,2018-06-21,1,1,draw
France,Peru,32789,Group stage,Russia,2018,2018-06-21,1,0,home_win
Argentina,Croatia,43319,Group stage,Russia,2018,2018-06-21,0,3,away_win
Portugal,Morocco,78011,Group stage,Russia,2018,2018-06-20,1,0,home_win
Uruguay,Saudi Arabia,42678,Group stage,Russia,2018,2018-06-20,1,0,home_win
Iran,Spain,42718,Group stage,Russia,2018,2018-06-20,0,1,away_win
Colombia,Japan,40842,Group stage,Russia,2018,2018-06-19,1,2,away_win
Poland,Senegal,44190,Group stage,Russia,2018,2018-06-19,1,2,away_win
Russia,Egypt,64468,Group stage,Russia,2018,2018-06-19,3,1,home_win
Sweden,South Korea,42300,Group stage,Russia,2018,2018-06-18,1,0,home_win
Belgium,Panama,43257,Group stage,Russia,2018,2018-06-18,3,0,home_win
Tunisia,England,41064,Group stage,Russia,2018,2018-06-18,1,2,away_win
Costa Rica,Serbia,41432,Group stage,Russia,2018,2018-06-17,0,1,away_win
Germany,Mexico,78011,Group stage,Russia,2018,2018-06-17,0,1,away_win
