home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference
France,Mexico,4444,Group stage,Uruguay,1930,1930-07-13,4,1,home_win,,,,,,,,,69.714,64.15167115384617,5.562328846153832
United States,Belgium,18346,Group stage,Uruguay,1930,1930-07-13,3,0,home_win,,,,,,,,,62.40566538461539,67.93338076923077,-5.527715384615377
Yugoslavia,Brazil,24059,Group stage,Uruguay,1930,1930-07-14,2,1,home_win,,,,,,,,,,71.18102653846155,
Romania,Peru,2549,Group stage,Uruguay,1930,1930-07-14,3,1,home_win,,,,,,,,,59.02940903846154,58.05016461538462,0.9792444230769206
Argentina,France,23409,Group stage,Uruguay,1930,1930-07-15,1,0,home_win,,,,,,,,,67.99343846153849,69.714,-1.72056153846151
Chile,Mexico,9249,Group stage,Uruguay,1930,1930-07-16,3,0,home_win,,,,,,,,,63.52331596153847,64.15167115384617,-0.6283551923076942
Yugoslavia,Bolivia,18306,Group stage,Uruguay,1930,1930-07-17,4,0,home_win,,,,,,,,,,52.41948538461538,
United States,Paraguay,18306,Group stage,Uruguay,1930,1930-07-17,3,0,home_win,,,,,,,,,62.40566538461539,61.38765480769232,1.0180105769230678
Uruguay,Peru,57735,Group stage,Uruguay,1930,1930-07-18,1,0,home_win,,,,,,,,,65.00322653846155,58.05016461538462,6.95306192307693
Argentina,Mexico,42100,Group stage,Uruguay,1930,1930-07-19,6,3,home_win,,,,,,,,,67.99343846153849,64.15167115384617,3.841767307692322
Chile,France,2000,Group stage,Uruguay,1930,1930-07-19,1,0,home_win,,,,,,,,,63.52331596153847,69.714,-6.1906840384615265
Paraguay,Belgium,12000,Group stage,Uruguay,1930,1930-07-20,1,0,home_win,,,,,,,,,61.38765480769232,67.93338076923077,-6.545725961538444
Brazil,Bolivia,25466,Group stage,Uruguay,1930,1930-07-20,4,0,home_win,,,,,,,,,71.18102653846155,52.41948538461538,18.761541153846174
Uruguay,Romania,70022,Group stage,Uruguay,1930,1930-07-21,4,0,home_win,,,,,,,,,65.00322653846155,59.02940903846154,5.97381750000001
Argentina,Chile,41459,Group stage,Uruguay,1930,1930-07-22,3,1,home_win,,,,,,,,,67.99343846153849,63.52331596153847,4.470122500000016
Argentina,United States,72886,Semi-finals,Uruguay,1930,1930-07-26,6,1,home_win,,,,,,,,,67.99343846153849,62.40566538461539,5.587773076923099
Uruguay,Yugoslavia,79867,Semi-finals,Uruguay,1930,1930-07-27,6,1,home_win,,,,,,,,,65.00322653846155,,
Uruguay,Argentina,68346,Final,Uruguay,1930,1930-07-30,4,2,home_win,,,,,,,,,65.00322653846155,67.99343846153849,-2.9902119230769415
Czechoslovakia,Romania,9000,Round of 16,Italy,1934,1934-05-27,2,1,home_win,,,,,,,,,,59.02940903846154,
Hungary,Egypt,9000,Round of 16,Italy,1934,1934-05-27,4,2,home_win,,,,,,,,,57.00994596153846,57.44508059615386,-0.4351346346153946
Austria,France,16000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,63.952364230769234,69.714,-5.7616357692307645
Spain,Brazil,21000,Round of 16,Italy,1934,1934-05-27,3,1,home_win,,,,,,,,,71.50423846153845,71.18102653846155,0.3232119230768973
Sweden,Argentina,14000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,62.87979807692308,67.99343846153849,-5.113640384615408
Italy,United States,25000,Round of 16,Italy,1934,1934-05-27,7,1,home_win,,,,,,,,,68.45827307692308,62.40566538461539,6.052607692307689
Switzerland,Netherlands,33000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,64.68190576923077,66.82286346153847,-2.1409576923077083
Germany,Belgium,8000,Round of 16,Italy,1934,1934-05-27,5,2,home_win,,,,,,,,,69.83241730769232,67.93338076923077,1.8990365384615586
Germany,Sweden,3000,Quarter-finals,Italy,1934,1934-05-31,2,1,home_win,,,,,,,,,69.83241730769232,62.87979807692308,6.952619230769244
Italy,Spain,35000,Quarter-finals,Italy,1934,1934-05-31,1,1,draw,,,,,,,,,68.45827307692308,71.50423846153845,-3.0459653846153714
Czechoslovakia,Switzerland,12000,Quarter-finals,Italy,1934,1934-05-31,3,2,home_win,,,,,,,,,,64.68190576923077,
Austria,Hungary,23000,Quarter-finals,Italy,1934,1934-05-31,2,1,home_win,,,,,,,,,63.952364230769234,57.00994596153846,6.942418269230771
Italy,Spain,43000,Quarter-finals,Italy,1934,1934-06-01,1,0,home_win,,,,,,,,,68.45827307692308,71.50423846153845,-3.0459653846153714
Czechoslovakia,Germany,15000,Semi-finals,Italy,1934,1934-06-03,3,1,home_win,,,,,,,,,,69.83241730769232,
Italy,Austria,35000,Semi-finals,Italy,1934,1934-06-03,1,0,home_win,,,,,,,,,68.45827307692308,63.952364230769234,4.505908846153844
Germany,Austria,7000,Third-place match,Italy,1934,1934-06-07,3,2,home_win,,,,,,,,,69.83241730769232,63.952364230769234,5.88005307692309
Italy,Czechoslovakia,55000,Final,Italy,1934,1934-06-10,2,1,home_win,,,,,,,,,68.45827307692308,,
Switzerland,Germany,27152,Round of 16,France,1938,1938-06-04,1,1,draw,,,,,,,,,64.68190576923077,69.83241730769232,-5.150511538461558
Czechoslovakia,Netherlands,11000,Round of 16,France,1938,1938-06-05,3,0,home_win,,,,,,,,,,66.82286346153847,
Brazil,Poland,13452,Round of 16,France,1938,1938-06-05,6,5,home_win,,,,,,,,,71.18102653846155,61.76560730769231,9.415419230769245
France,Belgium,30454,Round of 16,France,1938,1938-06-05,3,1,home_win,,,,,,,,,69.714,67.93338076923077,1.7806192307692328
Hungary,Dutch East Indies,9000,Round of 16,France,1938,1938-06-05,6,0,home_win,,,,,,,,,57.00994596153846,,
Cuba,Romania,7000,Round of 16,France,1938,1938-06-05,3,3,draw,,,,,,,,,50.42030499999999,59.02940903846154,-8.609104038461545
Italy,Norway,19000,Round of 16,France,1938,1938-06-05,2,1,home_win,,,,,,,,,68.45827307692308,61.37427692307692,7.083996153846158
Cuba,Romania,8000,Round of 16,France,1938,1938-06-09,2,1,home_win,,,,,,,,,50.42030499999999,59.02940903846154,-8.609104038461545
Switzerland,Germany,20025,Round of 16,France,1938,1938-06-09,4,2,home_win,,,,,,,,,64.68190576923077,69.83241730769232,-5.150511538461558
Sweden,Cuba,7000,Quarter-finals,France,1938,1938-06-12,8,0,home_win,,,,,,,,,62.87979807692308,50.42030499999999,12.459493076923088
Italy,France,58455,Quarter-finals,France,1938,1938-06-12,3,1,home_win,,,,,,,,,68.45827307692308,69.714,-1.2557269230769208
Hungary,Switzerland,15000,Quarter-finals,France,1938,1938-06-12,2,0,home_win,,,,,,,,,57.00994596153846,64.68190576923077,-7.6719598076923035
Brazil,Czechoslovakia,22021,Quarter-finals,France,1938,1938-06-12,1,1,draw,,,,,,,,,71.18102653846155,,
Brazil,Czechoslovakia,18141,Quarter-finals,France,1938,1938-06-14,2,1,home_win,,,,,,,,,71.18102653846155,,
Italy,Brazil,33000,Semi-finals,France,1938,1938-06-16,2,1,home_win,,,,,,,,,68.45827307692308,71.18102653846155,-2.722753461538474
Hungary,Sweden,20000,Semi-finals,France,1938,1938-06-16,5,1,home_win,,,,,,,,,57.00994596153846,62.87979807692308,-5.869852115384617
Italy,Hungary,45000,Final,France,1938,1938-06-19,4,2,home_win,,,,,,,,,68.45827307692308,57.00994596153846,11.448327115384615
Brazil,Sweden,12000,Third-place match,France,1938,1938-06-19,4,2,home_win,,,,,,,,,71.18102653846155,62.87979807692308,8.301228461538471
Brazil,Mexico,81649,Group stage,Brazil,1950,1950-06-24,4,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386
Yugoslavia,Switzerland,7336,Group stage,Brazil,1950,1950-06-25,3,0,home_win,,,,,,,,,,64.68190576923077,
Spain,United States,9511,Group stage,Brazil,1950,1950-06-25,3,1,home_win,,,,,,,,,71.50423846153845,62.40566538461539,9.09857307692306
England,Chile,29703,Group stage,Brazil,1950,1950-06-25,2,0,home_win,,,,,,,,,68.18326346153846,63.52331596153847,4.659947499999987
Sweden,Italy,36502,Group stage,Brazil,1950,1950-06-25,3,2,home_win,,,,,,,,,62.87979807692308,68.45827307692308,-5.578474999999997
Brazil,Switzerland,42032,Group stage,Brazil,1950,1950-06-28,2,2,draw,,,,,,,,,71.18102653846155,64.68190576923077,6.499120769230785
Yugoslavia,Mexico,11078,Group stage,Brazil,1950,1950-06-28,4,1,home_win,,,,,,,,,,64.15167115384617,
Spain,Chile,19790,Group stage,Brazil,1950,1950-06-29,2,0,home_win,,,,,,,,,71.50423846153845,63.52331596153847,7.980922499999977
Sweden,Paraguay,7903,Group stage,Brazil,1950,1950-06-29,2,2,draw,,,,,,,,,62.87979807692308,61.38765480769232,1.492143269230759
United States,England,10151,Group stage,Brazil,1950,1950-06-29,1,0,home_win,,,,,,,,,62.40566538461539,68.18326346153846,-5.77759807692307
Brazil,Yugoslavia,142429,Group stage,Brazil,1950,1950-07-01,2,0,home_win,,,,,,,,,71.18102653846155,,
Switzerland,Mexico,3580,Group stage,Brazil,1950,1950-07-02,2,1,home_win,,,,,,,,,64.68190576923077,64.15167115384617,0.5302346153846003
Spain,England,74462,Group stage,Brazil,1950,1950-07-02,1,0,home_win,,,,,,,,,71.50423846153845,68.18326346153846,3.32097499999999
Uruguay,Bolivia,5284,Group stage,Brazil,1950,1950-07-02,8,0,home_win,,,,,,,,,65.00322653846155,52.41948538461538,12.58374115384617
Italy,Paraguay,25811,Group stage,Brazil,1950,1950-07-02,2,0,home_win,,,,,,,,,68.45827307692308,61.38765480769232,7.070618269230756
Chile,United States,8501,Group stage,Brazil,1950,1950-07-02,5,2,home_win,,,,,,,,,63.52331596153847,62.40566538461539,1.117650576923083
Uruguay,Spain,44802,Final stage,Brazil,1950,1950-07-09,2,2,draw,,,,,,,,,65.00322653846155,71.50423846153845,-6.501011923076902
Brazil,Sweden,138886,Final stage,Brazil,1950,1950-07-09,7,1,home_win,,,,,,,,,71.18102653846155,62.87979807692308,8.301228461538471
Uruguay,Sweden,7987,Final stage,Brazil,1950,1950-07-13,3,2,home_win,,,,,,,,,65.00322653846155,62.87979807692308,2.1234284615384666
Brazil,Spain,152772,Final stage,Brazil,1950,1950-07-13,6,1,home_win,,,,,,,,,71.18102653846155,71.50423846153845,-0.3232119230768973
Uruguay,Brazil,173850,Final stage,Brazil,1950,1950-07-16,2,1,home_win,,,,,,,,,65.00322653846155,71.18102653846155,-6.177800000000005
Sweden,Spain,11227,Final stage,Brazil,1950,1950-07-16,3,1,home_win,,,,,,,,,62.87979807692308,71.50423846153845,-8.624440384615369
Uruguay,Czechoslovakia,20500,Group stage,Switzerland,1954,1954-06-16,2,0,home_win,,,,,,,,,65.00322653846155,,
Austria,Scotland,25000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,63.952364230769234,62.71133875,1.2410254807692311
Brazil,Mexico,13470,Group stage,Switzerland,1954,1954-06-16,5,0,home_win,,,,,,,,,71.18102653846155,64.15167115384617,7.029355384615386
Yugoslavia,France,16000,Group stage,Switzerland,1954,1954-06-16,1,0,home_win,,,,,,,,,,69.714,
England,Belgium,14000,Group stage,Switzerland,1954,1954-06-17,4,4,draw,,,,,,,,,68.18326346153846,67.93338076923077,0.24988269230769333
Germany,Turkey,28000,Group stage,Switzerland,1954,1954-06-17,4,1,home_win,,,,,,,,,69.83241730769232,63.71142807692308,6.120989230769247
Hungary,South Korea,13000,Group stage,Switzerland,1954,1954-06-17,9,0,home_win,,,,,,,,,57.00994596153846,,
Switzerland,Italy,43000,Group stage,Switzerland,1954,1954-06-17,2,1,home_win,,,,,,,,,64.68190576923077,68.45827307692308,-3.776367307692311
