home_team,away_team,Attendance,Round,Host,Year,Date,home_score,away_score,result,home_rank,home_points,confederation_x,away_rank,away_points,confederation_y,ranking_difference,points_difference,home_team_power,away_team_power,team_power_difference,home_last5_wins,home_last5_draws,home_last5_losses,home_last5_goals,home_last5_goals_conceded,home_recent_form_score,away_last5_wins,away_last5_draws,away_last5_losses,away_last5_goals,away_last5_goals_conceded,away_recent_form_score,form_score_difference,recent_goals_difference,recent_defense_difference
France,Mexico,4444,Group stage,Uruguay,1930,1930-07-13,4,1,home_win,,,,,,,,,69.714,64.15167115384617,5.562328846153832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,Belgium,18346,Group stage,Uruguay,1930,1930-07-13,3,0,home_win,,,,,,,,,62.40566538461539,67.93338076923077,-5.527715384615377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,Brazil,24059,Group stage,Uruguay,1930,1930-07-14,2,1,home_win,,,,,,,,,,71.18102653846155,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Peru,2549,Group stage,Uruguay,1930,1930-07-14,3,1,home_win,,,,,,,,,59.02940903846154,58.05016461538462,0.9792444230769206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,France,23409,Group stage,Uruguay,1930,1930-07-15,1,0,home_win,,,,,,,,,67.99343846153849,69.714,-1.72056153846151,0,0,0,0,0,0,1,0,0,4,1,3,-3,-4,1
Chile,Mexico,9249,Group stage,Uruguay,1930,1930-07-16,3,0,home_win,,,,,,,,,63.52331596153847,64.15167115384617,-0.6283551923076942,0,0,0,0,0,0,0,0,1,1,4,0,0,-1,4
Yugoslavia,Bolivia,18306,Group stage,Uruguay,1930,1930-07-17,4,0,home_win,,,,,,,,,,52.41948538461538,,1,0,0,2,1,3,0,0,0,0,0,0,3,2,-1
United States,Paraguay,18306,Group stage,Uruguay,1930,1930-07-17,3,0,home_win,,,,,,,,,62.40566538461539,61.38765480769232,1.0180105769230678,1,0,0,3,0,3,0,0,0,0,0,0,3,3,0
Uruguay,Peru,57735,Group stage,Uruguay,1930,1930-07-18,1,0,home_win,,,,,,,,,65.00322653846155,58.05016461538462,6.95306192307693,0,0,0,0,0,0,0,0,1,1,3,0,0,-1,3
Argentina,Mexico,42100,Group stage,Uruguay,1930,1930-07-19,6,3,home_win,,,,,,,,,67.99343846153849,64.15167115384617,3.841767307692322,1,0,0,1,0,3,0,0,2,1,7,0,3,0,7
Chile,France,2000,Group stage,Uruguay,1930,1930-07-19,1,0,home_win,,,,,,,,,63.52331596153847,69.714,-6.190684038461527,1,0,0,3,0,3,1,0,1,4,2,3,0,-1,2
Paraguay,Belgium,12000,Group stage,Uruguay,1930,1930-07-20,1,0,home_win,,,,,,,,,61.38765480769232,67.93338076923077,-6.545725961538444,0,0,1,0,3,0,0,0,1,0,3,0,0,0,0
Brazil,Bolivia,25466,Group stage,Uruguay,1930,1930-07-20,4,0,home_win,,,,,,,,,71.18102653846155,52.41948538461538,18.76154115384617,0,0,1,1,2,0,0,0,1,0,4,0,0,1,2
Uruguay,Romania,70022,Group stage,Uruguay,1930,1930-07-21,4,0,home_win,,,,,,,,,65.00322653846155,59.02940903846154,5.97381750000001,1,0,0,1,0,3,1,0,0,3,1,3,0,-2,1
Argentina,Chile,41459,Group stage,Uruguay,1930,1930-07-22,3,1,home_win,,,,,,,,,67.99343846153849,63.52331596153847,4.470122500000016,2,0,0,7,3,6,2,0,0,4,0,6,0,3,-3
Argentina,United States,72886,Semi-finals,Uruguay,1930,1930-07-26,6,1,home_win,,,,,,,,,67.99343846153849,62.40566538461539,5.587773076923099,3,0,0,10,4,9,2,0,0,6,0,6,3,4,-4
Uruguay,Yugoslavia,79867,Semi-finals,Uruguay,1930,1930-07-27,6,1,home_win,,,,,,,,,65.00322653846155,,,2,0,0,5,0,6,2,0,0,6,1,6,0,-1,1
Uruguay,Argentina,68346,Final,Uruguay,1930,1930-07-30,4,2,home_win,,,,,,,,,65.00322653846155,67.99343846153849,-2.990211923076941,3,0,0,11,1,9,4,0,0,16,5,12,-3,-5,4
Czechoslovakia,Romania,9000,Round of 16,Italy,1934,1934-05-27,2,1,home_win,,,,,,,,,,59.02940903846154,,0,0,0,0,0,0,1,0,1,3,5,3,-3,-3,5
Hungary,Egypt,9000,Round of 16,Italy,1934,1934-05-27,4,2,home_win,,,,,,,,,57.00994596153846,57.44508059615386,-0.4351346346153946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,France,16000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,63.952364230769234,69.714,-5.7616357692307645,0,0,0,0,0,0,1,0,2,4,3,3,-3,-4,3
Spain,Brazil,21000,Round of 16,Italy,1934,1934-05-27,3,1,home_win,,,,,,,,,71.50423846153845,71.18102653846155,0.3232119230768973,0,0,0,0,0,0,1,0,1,5,2,3,-3,-5,2
Sweden,Argentina,14000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,62.87979807692308,67.99343846153849,-5.113640384615408,0,0,0,0,0,0,4,0,1,18,9,12,-12,-18,9
Italy,United States,25000,Round of 16,Italy,1934,1934-05-27,7,1,home_win,,,,,,,,,68.45827307692308,62.40566538461539,6.052607692307689,0,0,0,0,0,0,2,0,1,7,6,6,-6,-7,6
Switzerland,Netherlands,33000,Round of 16,Italy,1934,1934-05-27,3,2,home_win,,,,,,,,,64.68190576923077,66.82286346153847,-2.1409576923077083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
