team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
1,1. FC Köln,1. FC Köln,KOE,Germany,1948,RheinEnergieSTADION,,http://www.fc-koeln.de,2022-02-25T16:49:46Z
2,TSG 1899 Hoffenheim,Hoffenheim,TSG,Germany,1921,PreZero Arena,,http://www.achtzehn99.de,2022-02-25T16:49:58Z
3,Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,BayArena,,http://www.bayer04.de,2022-02-25T16:43:07Z
4,Borussia Dortmund,Dortmund,BVB,Germany,1909,Signal Iduna Park,,http://www.bvb.de,2022-02-25T16:50:16Z
5,FC Bayern München,Bayern,FCB,Germany,1900,Allianz Arena,,http://www.fcbayern.de,2024-07-09T17:26:37Z
7,Hamburger SV,HSV,HSV,Germany,1887,Volksparkstadion,,http://www.hsv.de,2023-02-28T07:57:55Z
10,VfB Stuttgart,Stuttgart,VFB,Germany,1893,Mercedes-Benz Arena,,http://www.vfb.de,2026-01-26T10:51:52Z
11,VfL Wolfsburg,Wolfsburg,WOB,Germany,1945,Volkswagen Arena,,http://www.vfl-wolfsburg.de,2024-07-29T17:13:21Z
12,SV Werder Bremen,Bremen,SVW,Germany,1899,Weserstadion,,http://www.werder.de,2024-07-29T17:13:29Z
15,1. FSV Mainz 05,Mainz,M05,Germany,1905,Opel Arena,,http://www.mainz05.de,2023-02-28T07:59:34Z
16,FC Augsburg,Augsburg,FCA,Germany,1907,WWK Arena,,http://www.fcaugsburg.de,2023-02-28T07:59:40Z
17,SC Freiburg,Freiburg,SCF,Germany,1912,Schwarzwald-Stadion,,http://www.scfreiburg.com,2024-07-29T17:13:41Z
18,Borussia Mönchengladbach,M'gladbach,BMG,Germany,1900,Stadion im Borussia-Park,,http://www.borussia.de,2023-02-28T07:59:45Z
19,Eintracht Frankfurt,Frankfurt,SGE,Germany,1899,Deutsche Bank Park,,http://www.eintracht.de,2024-07-29T17:13:52Z
20,FC St. Pauli 1910,St. Pauli,STP,Germany,1910,Millerntor-Stadion,,http://www.fcstpauli.de,2022-07-12T12:08:57Z
28,1. FC Union Berlin,Union Berlin,UNB,Germany,1906,Stadion An der Alten Försterei,,http://www.fc-union-berlin.de,2024-07-29T17:14:25Z
44,1. FC Heidenheim 1846,Heidenheim,HEI,Germany,1846,Voith-Arena,,http://www.fc-heidenheim.de,2024-07-29T17:14:58Z
721,RB Leipzig,RB Leipzig,RBL,Germany,2009,Red Bull Arena,,http://www.dierotenbullen.com,2022-02-19T09:03:00Z
