team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
1765,Fluminense FC,Fluminense,FLU,Brazil,1902,Estadio Jornalista Mário Filho,Luis Zubeldía,http://www.fluminense.com.br,2024-07-29T17:24:37Z
1766,CA Mineiro,Mineiro,CAM,Brazil,1908,Estádio Raimundo Sampaio,Eduardo Domínguez,http://www.atletico.com.br,2022-12-28T10:32:33Z
1767,Grêmio FBPA,Grêmio,FBP,Brazil,1903,Arena do Grêmio,Jéssica Lima,http://www.gremio.net,2023-02-18T08:42:52Z
1768,CA Paranaense,Paranaense,CAP,Brazil,1924,Estádio Joaquim Américo Guimarães,João Eduardo Louro Baptista Cr,http://www.atleticoparanaense.com,2022-04-06T13:14:06Z
1769,SE Palmeiras,Palmeiras,PAL,Brazil,1914,Allianz Parque,Abel Ferreira,http://www.palmeiras.com.br,2022-04-06T13:14:55Z
1770,Botafogo FR,Botafogo,BOT,Brazil,1904,Estádio Nilton Santos,Franclim Carvalho,http://www.botafogo.com.br,2023-02-18T08:43:47Z
1771,Cruzeiro EC,Cruzeiro,CRU,Brazil,1921,Estádio Governador Magalhães Pinto,Artur Jorge,http://www.cruzeiro.com.br,2022-04-10T11:03:46Z
1776,São Paulo FC,São Paulo,PAU,Brazil,1930,Estádio do Morumbi,Dorival Júnior,http://www.saopaulofc.net,2023-02-18T08:43:44Z
1777,EC Bahia,Bahia,BAH,Brazil,1931,Estádio Governador Roberto Santos,Rogério Ceni,http://www.esporteclubebahia.com.br,2024-10-28T10:09:10Z
1779,SC Corinthians Paulista,Corinthians,COR,Brazil,1910,Neo Química Arena,Fernando Diniz,http://www.corinthians.com.br,2024-07-29T17:24:47Z
1780,CR Vasco da Gama,Vasco da Gama,VAS,Brazil,1898,Estádio Club de Regatas Vasco da Gama,Possato,http://www.vasco.com.br,2023-02-18T08:43:37Z
1782,EC Vitória,Vitória,VIT,Brazil,1899,Estádio Manoel Barradas,Jair Ventura,http://www.ecvitoria.com.br,2023-02-18T08:33:29Z
1783,CR Flamengo,Flamengo,FLA,Brazil,1919,Estadio Jornalista Mário Filho,Leonardo Jardim,https://www.flamengo.com.br/pagina-inicial-basquete,2022-04-06T13:13:43Z
3984,Fortaleza EC,Fortaleza,FEC,Brazil,1918,Estádio Castelão,Thiago Carpini,http://www.fortalezaec.net,2022-04-06T13:16:50Z
3988,AC Goianiense,AC Goianiense,ACG,Brazil,1937,Estádio Olímpico Pedro Ludovico Teixeira,Eduardo Souza,http://www.atleticogoianiense.com.br,2023-02-18T08:33:22Z
4243,Criciúma EC,Criciúma,CRI,Brazil,1947,Estádio Heriberto Hülse,Eduardo Baptista,http://www.criciumaec.com.br,2022-04-10T11:04:26Z
4245,EC Juventude,Juventude,JUV,Brazil,1913,Estádio Alfredo Jaconi,Mauricio Barbieri,http://www.juventude.com.br,2021-07-22T10:54:36Z
4286,RB Bragantino,Bragantino,RBB,Brazil,1928,Estádio Nabi Abi Chedid,Vágner Mancini,http://www.bragantino.net,2023-02-18T08:43:26Z
4289,Cuiabá EC,Cuiabá EC,CUI,Brazil,2001,Arena Pantanal,Gustavo Almeida,http://www.cuiabaesporteclube.com.br,2021-07-22T10:54:52Z
6684,SC Internacional,Internacional,SCI,Brazil,1909,Estádio José Pinheiro Borba,Leonardo Ramos,http://www.internacional.com.br,2023-02-18T08:43:22Z
