team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
1769,SE Palmeiras,Palmeiras,PAL,Brazil,1914,Allianz Parque,Abel Ferreira,http://www.palmeiras.com.br,2022-04-06T13:14:55Z
1770,Botafogo FR,Botafogo,BOT,Brazil,1904,Estádio Nilton Santos,Franclim Carvalho,http://www.botafogo.com.br,2023-02-18T08:43:47Z
1776,São Paulo FC,São Paulo,PAU,Brazil,1930,Estádio do Morumbi,Dorival Júnior,http://www.saopaulofc.net,2023-02-18T08:43:44Z
1777,EC Bahia,Bahia,BAH,Brazil,1931,Estádio Governador Roberto Santos,Rogério Ceni,http://www.esporteclubebahia.com.br,2024-10-28T10:09:10Z
1779,SC Corinthians Paulista,Corinthians,COR,Brazil,1910,Neo Química Arena,Fernando Diniz,http://www.corinthians.com.br,2024-07-29T17:24:47Z
1783,CR Flamengo,Flamengo,FLA,Brazil,1919,Estadio Jornalista Mário Filho,Leonardo Jardim,https://www.flamengo.com.br/pagina-inicial-basquete,2022-04-06T13:13:43Z
2051,Estudiantes de La Plata,Estudiantes LP,EST,Argentina,1905,Estadio Jorge Luis Hirschi,,http://www.estudiantesdelaplata.com,2022-04-06T13:15:10Z
2061,CA Boca Juniors,Boca Juniors,BOC,Argentina,1905,Estadio Alberto José Armando,,http://www.bocajuniors.com.ar,2022-04-06T13:12:25Z
2073,CA Talleres,Talleres,TAL,Argentina,1913,Estadio Mario Alberto Kempes,,http://www.talleresdecordoba.com.ar,2022-04-06T13:17:04Z
2078,CA Vélez Sarsfield,Vélez,VÉL,Argentina,1910,Estadio José Amalfitani,,http://www.velezsarsfield.com.ar,2022-04-06T13:15:26Z
3984,Fortaleza EC,Fortaleza,FEC,Brazil,1918,Estádio Castelão,Thiago Carpini,http://www.fortalezaec.net,2022-04-06T13:16:50Z
4259,CD Blooming,CD Blooming,BLO,Bolivia,1946,Estadio Ramón Aguilera Costas,Raúl Gutiérrez,,2026-04-10T09:38:46Z
4261,Club Bolívar,Club Bolívar,BOL,Bolivia,1925,Estadio Hernando Siles,Flavio Robatto,http://www.clubbolivar.com,2022-02-09T13:30:27Z
4267,Club The Strongest,The Strongest,STR,Bolivia,1908,,Juan Paz García,http://www.club-thestrongest.com,2022-02-09T13:30:46Z
4268,Club Universitario de Deportes,Universitario,CUD,Peru,1924,Estadio Monumental,Héctor Cúper,http://www.clubuniversitario.pe,2023-06-01T07:07:46Z
4410,CSD Colo-Colo,Colo-Colo,COL,Chile,1925,Estadio Monumental David Arellano,,http://www.colocolo.cl,2022-12-28T10:17:57Z
4430,CA Bucaramanga,CA Bucaramanga,CAB,Colombia,1949,Estadio Alfonso López,,http://www.atleticobucaramanga.com.co,2026-03-18T15:54:06Z
4437,CD Tolima,Tolima,TOL,Colombia,1954,Estadio Manuel Murillo Toro,,http://www.clubdeportestolima.com.co,2026-03-18T15:48:40Z
4438,CDC Atlético Nacional,CDC Atlético,NAC,Colombia,1947,Estadio Atanasio Girardot,,http://www.atlnacional.com.co,2022-02-09T13:30:58Z
4441,Independiente Santa Fe,Santa Fe,SAN,Colombia,1941,Estadio Nemesio Camacho El Campín,,http://www.independientesantafe.co,2022-03-28T18:54:38Z
4458,CD Iquique,Iquique,IQU,Chile,1978,Estadio Tierra de Campeones,,http://www.clubdeportesiquique.cl,2024-07-29T08:35:35Z
4466,CF Universidad de Chile,Univ Chile,UNC,Chile,1927,Estadio Nacional Julio Martínez Prádanos,,http://www.udechile.cl,2022-12-28T10:17:16Z
4520,Barcelona SC,Barcelona SC,BAR,Ecuador,1925,Estadio Monumental Isidro Romero Carbo,César Farías,http://www.barcelonasc.com.ec,2022-02-09T13:31:13Z
4524,CSCyD El Nacional,El Nacional,ELN,Ecuador,1964,Estadio Olímpico Atahualpa,,http://www.elnacional.ec,2023-02-07T10:03:08Z
4528,LDU de Quito,LDU de Quito,LDU,Ecuador,1930,Estadio de Liga Deportiva Universitaria,Tiago Nunes,http://www.ldu.com.ec,2024-04-25T07:34:57Z
5166,Carabobo FC,Carabobo,CAR,Venezuela,1997,Estadio Polideportivo Misael Delgado,Daniel Fárias,http://www.carabobofc.com,2023-02-07T10:02:47Z
5171,Deportivo Táchira FC,Táchira,TÁC,Venezuela,1974,Estadio Rafael Agustín Tovar,Alvaro Recoba,http://www.deportivotachira.com,2022-04-06T09:00:14Z
5175,Monagas SC,Monagas SC,MSC,Venezuela,1987,Estadio Monumental de Maturín,Octavio Zambrano,,2026-04-10T09:51:00Z
5181,CA Boston River,Boston River,BOR,Uruguay,1939,Estadio Campeones Olímpicos,Ignacio Ithurralde,http://www.bostonriver.com.uy,2023-02-07T10:02:09Z
