team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
666,FC Twente '65,Twente,TWE,Netherlands,1965,De Grolsch Veste,,http://www.fctwente.nl,2022-03-24T17:06:27Z
670,SBV Excelsior,Excelsior,EXC,Netherlands,1902,Van Donge & De Roo Stadion,,http://www.sbvexcelsior.nl,2022-08-07T11:18:32Z
671,Heracles Almelo,Heracles,HER,Netherlands,1903,Erve Asito,,http://www.heracles.nl,2022-03-22T10:10:18Z
673,SC Heerenveen,Heerenveen,HEE,Netherlands,1920,Abe Lenstra Stadion,,http://www.sc-heerenveen.nl,2022-02-20T08:40:47Z
674,PSV,PSV,PSV,Netherlands,1913,Philips Stadion,,http://www.psv.nl,2022-03-06T09:30:40Z
675,Feyenoord Rotterdam,Feyenoord,FEY,Netherlands,1908,Stadion Feijenoord,,http://www.feyenoord.nl,2022-03-24T17:06:52Z
676,FC Utrecht,Utrecht,UTR,Netherlands,1970,Stadion Galgenwaard,,http://www.fc-utrecht.nl,2022-03-24T17:07:00Z
677,FC Groningen,Groningen,GRO,Netherlands,1921,Hitachi Capital Mobility Stadion,,http://www.fcgroningen.nl,2022-03-22T10:10:56Z
678,AFC Ajax,Ajax,AJA,Netherlands,1900,Johan Cruyff ArenA,,http://www.ajax.nl,2022-03-22T10:11:05Z
681,NAC Breda,NAC,NAC,Netherlands,1912,Rat Verlegh Stadion,,http://www.nac.nl,2022-03-23T08:30:12Z
682,AZ,AZ,AZ,Netherlands,1967,AFAS Stadion,,http://www.az.nl,2022-03-22T10:11:18Z
684,PEC Zwolle,Zwolle,ZWO,Netherlands,1910,MAC³PARK Stadion,,http://www.peczwolle.nl,2022-03-22T10:11:39Z
718,Go Ahead Eagles,Go Ahead,GOA,Netherlands,1902,De Adelaarshorst,,http://www.ga-eagles.nl,2022-03-22T10:09:14Z
1912,Telstar 1963,Telstar,TEL,Netherlands,1963,Rabobank IJmond Stadion,,http://www.sctelstar.nl,2022-09-25T07:40:09Z
1915,NEC,NEC,NEC,Netherlands,1900,Goffertstadion,,http://www.nec-nijmegen.nl,2022-03-06T09:55:52Z
1919,FC Volendam,Volendam,VOL,Netherlands,1920,Kras Stadion,,http://www.fcvolendam.nl,2022-08-07T11:18:40Z
1920,Fortuna Sittard,Sittard,SIT,Netherlands,1968,Fortuna Sittard Stadion,,http://www.fortuna-sittard.nl,2022-03-22T10:11:54Z
6806,Sparta Rotterdam,Sparta,SPA,Netherlands,1888,Sparta-Stadion Het Kasteel,,http://www.sparta-rotterdam.nl,2022-03-22T10:09:59Z
