team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
759,Germany,Germany,GER,Germany,1900,,,http://www.dfb.de,2026-06-01T09:41:12Z
760,Spain,Spain,ESP,Spain,1909,,,http://www.rfef.es,2026-06-01T09:41:19Z
765,Portugal,Portugal,POR,Portugal,1914,,,http://www.fpf.pt,2026-06-01T09:41:53Z
768,Slovakia,Slovakia,SVK,Slovakia,1938,City Arena Trnava,,http://www.futbalsfz.sk,2021-05-26T19:20:07Z
770,England,England,ENG,England,1863,,,http://www.thefa.com,2026-06-01T09:42:05Z
773,France,France,FRA,France,1919,,,http://www.fff.fr,2026-06-01T09:42:18Z
777,Slovenia,Slovenia,SVN,Slovenia,1920,Stadion Stožice,,http://www.nzs.si,2024-05-16T15:42:31Z
780,Serbia,Serbia,SRB,Serbia,1919,Stadion Rajko Mitić,,http://www.fss.rs,2022-04-02T10:42:59Z
782,Denmark,Denmark,DEN,Denmark,1889,Telia Parken,,http://www.dbu.dk,2021-05-26T10:45:14Z
784,Italy,Italy,ITA,Italy,1898,Stadio Artemio Franchi,,http://www.figc.it,2021-05-26T10:29:34Z
788,Switzerland,Switzerland,SUI,Switzerland,1895,,,http://www.football.ch,2026-06-01T09:42:31Z
790,Ukraine,Ukraine,UKR,Ukraine,1991,NSK Olimpijs'kyj,,http://www.ffu.org.ua,2021-06-02T14:19:45Z
794,Poland,Poland,POL,Poland,1919,Stadion Energa Gdańsk,,http://www.pzpn.pl,2021-05-26T09:49:02Z
798,Czechia,Czechia,CZE,Czech Republic,1901,,,http://www.fotbal.cz,2026-06-01T09:42:43Z
799,Croatia,Croatia,CRO,Croatia,1912,,,http://www.hns-cff.hr,2026-06-01T09:42:48Z
803,Turkey,Turkey,TUR,Turkey,1923,,,http://www.tff.org,2026-06-01T09:42:55Z
805,Belgium,Belgium,BEL,Belgium,1895,,,https://www.rbfa.be,2026-06-01T09:43:01Z
811,Romania,Romania,ROU,Romania,1909,Stadionul Ilie Oană,,http://www.frf.ro,2024-05-16T15:42:03Z
816,Austria,Austria,AUT,Austria,1904,,,http://www.oefb.at,2026-06-01T09:43:08Z
827,Hungary,Hungary,HUN,Hungary,1901,Puskás Aréna,,http://www.mlsz.hu,2021-05-28T19:08:20Z
1065,Albania,Albania,ALB,Albania,1930,Air Albania Stadium,,http://www.fshf.org,2021-04-05T07:09:29Z
1978,Georgia,Georgia,GEO,Georgia,1990,Boris Paichadzis Dinamo Arena,,http://www.gff.ge,2024-05-16T15:41:39Z
8601,Netherlands,Netherlands,NED,Netherlands,1889,,,http://www.knvb.nl,2026-06-01T09:43:48Z
8873,Scotland,Scotland,SCO,Scotland,1873,,,http://www.scottishfa.co.uk,2026-06-01T09:43:58Z
