team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
511,Toulouse FC,Toulouse,TOU,France,1937,Stadium Municipal,,http://www.tfc.info,2026-07-04T12:07:20Z
512,Stade Brestois 29,Brest,BRE,France,1903,Stade Francis-Le Blé,,http://www.stade-brestois.com,2026-07-04T12:08:19Z
516,Olympique de Marseille,Marseille,MAR,France,1898,Orange Vélodrome,,http://www.om.net,2022-02-19T08:35:12Z
519,AJ Auxerre,Auxerre,AJA,France,1905,Stade de l'Abbé Deschamps,,http://www.aja.fr,2022-07-26T18:03:55Z
521,Lille OSC,Lille,LIL,France,1944,Stade Pierre-Mauroy,,http://www.losc.fr,2024-07-29T17:19:48Z
522,OGC Nice,Nice,NIC,France,1904,Stade de Nice,,http://www.ogcnice.com,2022-02-19T08:51:11Z
523,Olympique Lyonnais,Olympique Lyon,LYO,France,1896,Groupama Stadium,,http://www.olweb.fr,2024-07-29T17:19:54Z
524,Paris Saint-Germain FC,PSG,PSG,France,1904,Parc des Princes,,http://www.psg.fr,2022-02-10T19:07:11Z
525,FC Lorient,Lorient,FCL,France,1926,Stade Yves Allainmat - Le Moustoir,,http://www.fclweb.fr,2022-02-19T08:25:01Z
529,Stade Rennais FC 1901,Stade Rennais,REN,France,1901,Roazhon Park,,http://www.staderennais.com,2022-03-20T11:21:26Z
532,Angers SCO,Angers SCO,ANG,France,1919,Stade Raymond Kopa,,http://www.angers-sco.fr,2024-07-29T17:20:31Z
533,Le Havre AC,Le Havre,HAC,France,1872,Stade Océane,,http://www.hac-foot.com,2022-06-19T00:03:33Z
543,FC Nantes,Nantes,NAN,France,1943,Stade de la Beaujoire - Louis Fonteneau,,http://www.fcnantes.com,2023-06-14T15:27:19Z
545,FC Metz,FC Metz,FCM,France,1919,Stade Saint-Symphorien,,http://www.fcmetz.com,2024-07-29T17:22:18Z
546,Racing Club de Lens,RC Lens,RCL,France,1906,Stade Bollaert-Delelis,,http://www.rclens.fr,2026-01-19T12:05:38Z
548,AS Monaco FC,Monaco,ASM,Monaco,1919,Stade Louis II.,,http://www.asmonaco.com,2021-11-06T13:27:09Z
576,RC Strasbourg Alsace,Strasbourg,RC ,France,1906,Stade de la Meinau,,http://www.rcstrasbourgalsace.fr,2022-02-19T08:40:46Z
1045,Paris FC,Paris FC,PFC,France,1969,Stade Sébastien Charléty,,http://www.parisfootballclub.com,2022-06-19T00:04:35Z
