team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
77,Athletic Club,Athletic,ATH,Spain,1898,San Mamés,,http://www.athletic-club.eus,2022-03-06T09:31:27Z
78,Club Atlético de Madrid,Atleti,ATL,Spain,1903,Estadio Wanda Metropolitano,,http://www.clubatleticodemadrid.com,2026-07-04T11:58:34Z
79,CA Osasuna,Osasuna,OSA,Spain,1920,Estadio El Sadar,,http://www.osasuna.es,2024-07-29T17:09:06Z
80,RCD Espanyol de Barcelona,Espanyol,ESP,Spain,1900,RCDE Stadium,,http://www.rcdespanyol.com,2024-07-29T17:09:12Z
81,FC Barcelona,Barça,FCB,Spain,1899,Camp Nou,,http://www.fcbarcelona.com,2024-07-29T17:09:22Z
82,Getafe CF,Getafe,GET,Spain,1946,Coliseum Alfonso Pérez,,http://www.getafecf.com,2022-02-25T16:43:35Z
86,Real Madrid CF,Real Madrid,RMA,Spain,1902,Estadio Santiago Bernabéu,,http://www.realmadrid.com,2022-02-19T08:59:31Z
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,Spain,1924,Estadio del Rayo Vallecano,,http://www.rayovallecano.es,2024-07-29T17:10:35Z
88,Levante UD,Levante,LEV,Spain,1909,Estadio Ciudad de Valencia,,http://www.levanteud.com,2024-07-29T17:11:36Z
89,RCD Mallorca,Mallorca,MAL,Spain,1916,Iberostar Estadi,,http://www.rcdmallorca.es,2022-02-19T08:44:00Z
90,Real Betis Balompié,Real Betis,BET,Spain,1907,Estadio Benito Villamarín,,http://www.realbetisbalompie.es,2022-05-03T08:22:26Z
92,Real Sociedad de Fútbol,Real Sociedad,RSO,Spain,1903,Estadio Municipal de Anoeta,,http://www.realsociedad.com,2024-07-29T17:10:27Z
94,Villarreal CF,Villarreal,VIL,Spain,1923,Estadio de la Cerámica,,http://www.villarrealcf.es,2022-02-22T18:26:04Z
95,Valencia CF,Valencia,VAL,Spain,1919,Estadio de Mestalla,,http://www.valenciacf.com,2024-07-29T17:10:18Z
263,Deportivo Alavés,Alavés,ALA,Spain,1921,Estadio de Mendizorroza,,http://www.alaves.com,2022-02-19T08:23:45Z
285,Elche CF,Elche,ELC,Spain,1923,Estadio Manuel Martínez Valero,,http://www.elchecf.es,2022-02-24T07:42:28Z
298,Girona FC,Girona,GIR,Spain,1930,Estadi Municipal de Montilivi,,http://www.gironafc.cat,2022-08-16T12:47:06Z
558,RC Celta de Vigo,Celta,CEL,Spain,1923,Estadio de Balaídos,,http://www.celtavigo.net,2024-07-29T17:10:02Z
559,Sevilla FC,Sevilla FC,SEV,Spain,1905,Estadio Ramón Sánchez Pizjuán,,http://www.sevillafc.es,2024-07-29T17:09:57Z
1048,Real Oviedo,Real Oviedo,OVI,Spain,1926,Estadio Nuevo Carlos Tartiere,,http://www.realoviedo.es,2022-07-26T17:35:02Z
