team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
57,Arsenal FC,Arsenal,ARS,England,1886,Emirates Stadium,,http://www.arsenal.com,2022-02-10T19:48:56Z
58,Aston Villa FC,Aston Villa,AVL,England,1872,Villa Park,,http://www.avfc.co.uk,2022-04-03T16:22:14Z
61,Chelsea FC,Chelsea,CHE,England,1905,Stamford Bridge,,http://www.chelseafc.com,2022-02-10T19:24:40Z
62,Everton FC,Everton,EVE,England,1878,Goodison Park,,http://www.evertonfc.com,2022-02-10T19:47:42Z
63,Fulham FC,Fulham,FUL,England,1879,Craven Cottage,,http://www.fulhamfc.com,2024-07-29T17:16:11Z
64,Liverpool FC,Liverpool,LIV,England,1892,Anfield,,http://www.liverpoolfc.tv,2022-02-10T19:30:22Z
65,Manchester City FC,Man City,MCI,England,1880,Etihad Stadium,,https://www.mancity.com,2022-02-10T19:48:37Z
66,Manchester United FC,Man United,MUN,England,1878,Old Trafford,,http://www.manutd.com,2022-02-10T19:27:46Z
67,Newcastle United FC,Newcastle,NEW,England,1881,St. James' Park,,http://www.nufc.co.uk,2022-09-28T18:51:07Z
71,Sunderland AFC,Sunderland,SUN,England,1879,Stadium of Light,,http://www.safc.com,2022-02-19T09:12:07Z
73,Tottenham Hotspur FC,Tottenham,TOT,England,1882,Tottenham Hotspur Stadium,,http://www.tottenhamhotspur.com,2024-05-11T21:39:03Z
76,Wolverhampton Wanderers FC,Wolverhampton,WOL,England,1877,Molineux Stadium,,http://www.wolves.co.uk,2024-07-29T17:16:22Z
328,Burnley FC,Burnley,BUR,England,1881,Turf Moor,,http://www.burnleyfootballclub.com,2022-02-10T19:24:11Z
341,Leeds United FC,Leeds United,LEE,England,1904,Elland Road,,http://www.leedsunited.com,2022-02-10T19:27:14Z
351,Nottingham Forest FC,Nottingham,NOT,England,1865,The City Ground,,http://www.nottinghamforest.co.uk,2022-07-26T17:53:21Z
354,Crystal Palace FC,Crystal Palace,CRY,England,1905,Selhurst Park,,http://www.cpfc.co.uk,2022-02-10T19:22:36Z
397,Brighton & Hove Albion FC,Brighton Hove,BHA,England,1898,The American Express Community Stadium,,http://www.seagulls.co.uk,2024-07-29T17:18:23Z
402,Brentford FC,Brentford,BRE,England,1889,Griffin Park,,http://www.brentfordfc.co.uk,2022-04-03T16:24:00Z
563,West Ham United FC,West Ham,WHU,England,1895,London Stadium,,http://www.whufc.com,2022-02-19T08:09:25Z
1044,AFC Bournemouth,Bournemouth,BOU,England,1890,Vitality Stadium,,http://www.afcb.co.uk,2024-08-29T08:54:34Z
