match_id,utc_date,status,matchday,stage,group,last_updated,area_name,competition_code,competition_name,season_id,season_start,season_end,home_team_id,home_team_name,away_team_id,away_team_name,winner,duration,home_score,away_score,home_score_ht,away_score_ht
545700,2025-08-08T19:15:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,6618,Casa Pia AC,498,Sporting Clube de Portugal,AWAY_TEAM,REGULAR,0,2,0,1
545706,2025-08-09T14:30:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,5529,CD Nacional,5533,Gil Vicente FC,AWAY_TEAM,REGULAR,0,2,0,2
545703,2025-08-09T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,712,FC Arouca,10340,AVS,HOME_TEAM,REGULAR,3,1,1,0
545707,2025-08-10T16:00:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,5531,FC Famalicão,5530,CD Santa Clara,HOME_TEAM,REGULAR,3,0,2,0
545701,2025-08-10T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,5613,Sporting Clube de Braga,1049,CD Tondela,HOME_TEAM,REGULAR,3,0,2,0
545705,2025-08-10T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,583,Moreirense FC,7822,FC Alverca,HOME_TEAM,REGULAR,2,1,1,1
545704,2025-08-11T17:45:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,582,GD Estoril Praia,9136,CF Estrela da Amadora,DRAW,REGULAR,1,1,1,0
545708,2025-08-11T19:45:00Z,FINISHED,1,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,503,FC Porto,5543,Vitória SC,HOME_TEAM,REGULAR,3,0,2,0
545709,2025-08-15T14:45:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,10340,AVS,6618,Casa Pia AC,AWAY_TEAM,REGULAR,0,2,0,1
545716,2025-08-16T14:30:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,1049,CD Tondela,5531,FC Famalicão,AWAY_TEAM,REGULAR,0,1,0,0
545714,2025-08-16T17:00:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,5543,Vitória SC,582,GD Estoril Praia,HOME_TEAM,REGULAR,3,2,1,1
545717,2025-08-16T19:30:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,9136,CF Estrela da Amadora,1903,Sport Lisboa e Benfica,AWAY_TEAM,REGULAR,0,1,0,0
545713,2025-08-17T14:30:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,496,Rio Ave FC,5529,CD Nacional,DRAW,REGULAR,1,1,1,0
545710,2025-08-17T17:00:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,7822,FC Alverca,5613,Sporting Clube de Braga,AWAY_TEAM,REGULAR,0,3,0,3
545712,2025-08-17T17:00:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,5530,CD Santa Clara,583,Moreirense FC,AWAY_TEAM,REGULAR,0,1,0,1
545715,2025-08-17T19:30:00Z,FINISHED,2,REGULAR_SEASON,,2026-05-31T20:20:30Z,Portugal,PPL,Primeira Liga,2433,2025-08-08,2026-05-17,498,Sporting Clube de Portugal,712,FC Arouca,HOME_TEAM,REGULAR,6,0,3,0
