team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
496,Rio Ave FC,Rio Ave,RIO,Portugal,1939,Estádio do Rio Ave Futebol Clube,,http://www.rioave-fc.pt,2022-07-26T17:38:50Z
498,Sporting Clube de Portugal,Sporting CP,SPO,Portugal,1906,Estádio José Alvalade,,http://www.sporting.pt,2022-07-26T17:38:53Z
503,FC Porto,Porto,FCP,Portugal,1893,Estádio Do Dragão,,http://www.fcporto.pt,2022-02-10T19:26:43Z
582,GD Estoril Praia,Estoril Praia,EST,Portugal,1939,Estádio António Coimbra da Mota,,http://www.estorilpraia.pt,2022-10-19T16:23:49Z
583,Moreirense FC,Moreirense,MOR,Portugal,1938,P.D. Comendador Joaquim de Almeida Freitas,,http://www.moreirensefc.pt,2023-03-05T07:40:05Z
712,FC Arouca,Arouca,FCA,Portugal,1952,Estádio Municipal de Arouca,,http://www.fcarouca.eu,2022-02-25T16:58:25Z
1049,CD Tondela,Tondela,TON,Portugal,1933,Estádio João Cardoso,,http://www.cdtondela.pt,2023-03-05T07:37:49Z
1903,Sport Lisboa e Benfica,SL Benfica,BEN,Portugal,1904,Estádio do Sport Lisboa e Benfica,,https://www.slbenfica.pt,2024-11-06T20:07:52Z
5529,CD Nacional,CD Nacional,CDN,Portugal,1910,Estádio da Madeira,,http://www.cdnacional.pt,2023-06-02T09:42:46Z
5530,CD Santa Clara,Santa Clara,CD ,Portugal,1921,Cidade do Futebol,,http://www.cdsantaclara.pt,2022-02-20T08:40:31Z
5531,FC Famalicão,Famalicão,FAM,Portugal,1931,Estádio Municipal 22 de Junho,,http://www.fcfamalicao.pt,2022-08-07T11:37:24Z
5533,Gil Vicente FC,Gil Vicente,GIL,Portugal,1924,Estádio Cidade de Barcelos,,http://www.gilvicentefc.pt,2022-02-19T08:57:44Z
5543,Vitória SC,Vitória SC,GUI,Portugal,1922,Estádio Dom Afonso Henriques,,http://www.vitoriasc.pt,2022-03-06T09:31:54Z
5613,Sporting Clube de Braga,Braga,SCB,Portugal,1921,Estádio Municipal de Braga,,http://www.scbraga.pt,2022-02-19T08:44:56Z
6618,Casa Pia AC,Casa Pia,CAS,Portugal,1920,Estádio Pina Manique,,http://www.casapia-ac.pt,2022-07-26T17:38:35Z
7822,FC Alverca,Alverca,ALV,Portugal,1939,Campo Futebol Clube Alverca,,http://www.fcalverca.pt/,2026-03-27T01:48:52Z
9136,CF Estrela da Amadora,Amadora,AMA,Portugal,,Estádio Nacional,,,2023-07-31T12:07:04Z
10340,AVS,AVS,AVS,Portugal,,Estádio do CD Aves,,,2026-03-27T01:49:20Z
