team_id,name,short_name,tla,area_name,founded,venue,coach_name,website,last_updated
98,AC Milan,Milan,MIL,Italy,1899,Stadio Giuseppe Meazza,,http://www.acmilan.com,2024-04-09T16:20:58Z
99,ACF Fiorentina,Fiorentina,FIO,Italy,1926,Stadio Artemio Franchi,,http://www.acffiorentina.it,2024-04-09T16:20:54Z
100,AS Roma,Roma,ROM,Italy,1927,Stadio Olimpico,,http://www.asroma.it,2025-02-17T16:53:31Z
102,Atalanta BC,Atalanta,ATA,Italy,1904,Stadio Atleti Azzurri d'Italia,,http://www.atalanta.it,2024-04-09T16:20:48Z
103,Bologna FC 1909,Bologna,BOL,Italy,1909,Stadio Renato Dall'Ara,,http://www.bolognafc.it,2024-04-09T16:20:45Z
104,Cagliari Calcio,Cagliari,CAG,Italy,1920,Sardegna Arena,,http://www.cagliaricalcio.net,2024-04-09T16:20:43Z
107,Genoa CFC,Genoa,GEN,Italy,1893,Stadio Comunale Luigi Ferraris,,http://www.genoacfc.it,2024-04-09T16:20:41Z
108,FC Internazionale Milano,Inter,INT,Italy,1908,Stadio Giuseppe Meazza,,http://www.inter.it,2021-11-24T14:55:58Z
109,Juventus FC,Juventus,JUV,Italy,1897,Allianz Stadium,,http://www.juventus.com,2024-04-09T16:20:37Z
110,SS Lazio,Lazio,LAZ,Italy,1900,Stadio Olimpico,,http://www.sslazio.it,2024-04-09T16:20:32Z
112,Parma Calcio 1913,Parma,PAR,Italy,1913,Stadio Ennio Tardini,,http://www.parmacalcio1913.com,2022-03-20T17:52:09Z
113,SSC Napoli,Napoli,NAP,Italy,1904,Stadio San Paolo,,http://www.sscnapoli.it,2025-02-17T16:51:11Z
115,Udinese Calcio,Udinese,UDI,Italy,1896,Dacia Arena,,http://www.udinese.it,2022-02-24T07:45:52Z
450,Hellas Verona FC,Verona,HVE,Italy,1903,Stadio Marc'Antonio Bentegodi,,http://www.hellasverona.it,2022-02-19T08:54:02Z
457,US Cremonese,Cremonese,CRE,Italy,1903,Stadio Giovanni Zin,,http://www.uscremonese.it,2022-03-20T17:53:13Z
471,US Sassuolo Calcio,Sassuolo,SAS,Italy,1920,Mapei Stadium - Città del Tricolore,,http://www.sassuolocalcio.it,2024-04-09T16:20:13Z
487,AC Pisa 1909,AC Pisa,PIS,Italy,1909,Arena Garibaldi - Stadio Romeo Anconetani,,http://www.pisachannel.tv,2022-02-21T18:51:34Z
586,Torino FC,Torino,TOR,Italy,1894,Stadio Olimpico di Torino,,http://www.torinofc.it,2024-04-09T16:20:07Z
5890,US Lecce,Lecce,USL,Italy,1908,Stadio Comunale Via Del Mare,,http://www.uslecce.it,2022-02-22T14:17:48Z
7397,Como 1907,Como 1907,COM,Italy,1907,Stadio Giuseppe Sinigaglia,,http://www.como1907.net/,2025-02-17T16:52:41Z
