team,avg_overall,avg_potential,attack_score,midfield_score,defense_score,physical_score,international_reputation,avg_player_score,squad_value,team_power_score
Spain,84.42307692307692,85.73076923076923,70.60576923076923,82.8096153846154,75.22884615384615,72.39038461538462,2.8846153846153846,78.92192307692306,844000000.0,71.50423846153845
Brazil,84.65384615384616,85.92307692307692,72.0326923076923,80.38461538461539,73.04807692307692,74.68846153846154,3.0,78.77538461538461,871300000.0,71.18102653846155
Germany,82.6923076923077,84.5,70.99807692307692,80.28076923076922,70.95192307692308,72.24038461538461,2.8846153846153846,77.2235576923077,744500000.0,69.83241730769232
France,83.11538461538461,86.5,71.60961538461538,78.31923076923077,70.57692307692308,76.35192307692309,2.5384615384615383,77.1723076923077,890000000.0,69.714
Portugal,81.03846153846153,83.42307692307692,71.56538461538462,78.11346153846154,69.73461538461538,73.4,2.6153846153846154,75.90317307692307,559300000.0,68.66904192307692
Italy,81.11538461538461,83.0,69.65384615384616,77.45,71.7326923076923,72.26346153846154,2.3846153846153846,75.51365384615384,537000000.0,68.45827307692308
England,81.11538461538461,83.07692307692308,70.30576923076923,77.40576923076922,69.29230769230769,73.74230769230769,2.3461538461538463,75.28192307692308,594500000.0,68.18326346153846
Argentina,82.46153846153847,83.38461538461539,73.53076923076922,78.59423076923076,59.73076923076923,73.78846153846153,2.6923076923076925,75.36009615384616,738000000.0,67.99343846153849
Belgium,81.5,83.3076923076923,71.6076923076923,77.83653846153847,64.89038461538462,72.78461538461539,2.4615384615384617,75.10673076923077,683000000.0,67.93338076923077
Netherlands,79.76923076923077,82.03846153846153,68.47115384615384,76.21923076923078,67.43076923076923,74.36730769230769,2.1538461538461537,73.81346153846154,476500000.0,66.82286346153847
Croatia,79.15384615384616,82.23076923076923,68.61346153846154,74.975,63.534615384615385,71.44807692307691,2.1153846153846154,72.68317307692307,455400000.0,65.74488538461539
Uruguay,78.57692307692308,81.65384615384616,64.11538461538461,72.46538461538461,68.1076923076923,72.61730769230769,1.7692307692307692,71.77067307692307,445300000.0,65.00322653846155
Serbia,77.26923076923077,80.03846153846153,66.925,74.9576923076923,66.38269230769231,69.61923076923077,1.6153846153846154,71.38423076923077,312200000.0,64.93045615384615
Switzerland,76.53846153846153,78.73076923076923,64.35961538461538,73.50961538461539,69.70384615384616,71.9076923076923,1.8846153846153846,71.2775,233500000.0,64.68190576923077
Colombia,78.0,79.3076923076923,67.04807692307692,72.66538461538461,61.625,73.64423076923077,1.8076923076923077,70.9214423076923,325275000.0,64.20907144230769
Mexico,76.3076923076923,78.53846153846153,68.56538461538462,73.26346153846154,63.04423076923077,73.8423076923077,1.7692307692307692,70.75384615384615,256500000.0,64.15167115384617
